,PLAYER_ID,PLAYER,AVG,driving_distance_AVG,fir_%,gir_%,putting_AVG,scrambling_%
80,54576,Patrick Fishburn,70.825,307.8,58.98%,71.52%,29.78,58.52%
81,36801,Mark Hubbard,70.829,301.9,62.08%,67.16%,28.89,59.96%
82,36699,Patrick Rodgers,70.84,309.3,59.59%,65.82%,28.58,62.54%
83,51977,Max Greyserman,70.847,308.6,55.82%,65.41%,28.58,58.20%
84,35658,Kris Ventura,70.867,313.6,62.52%,69.37%,29.09,58.71%
85,33653,Thomas Detry,70.869,306.5,56.75%,65.18%,29.17,59.14%
86,47983,Chad Ramey,70.87,300.0,64.89%,68.69%,28.64,61.75%
87,63121,William Mouw,70.881,309.7,61.95%,69.81%,29.28,60.27%
88,55789,Taylor Montgomery,70.889,304.9,51.56%,64.07%,27.52,62.63%
89,51766,Wyndham Clark,70.918,311.7,55.49%,65.85%,28.65,57.94%
90,49947,Taylor Moore,70.92,309.7,59.10%,68.16%,29.12,59.06%
91,50484,Hayden Springer,70.937,312.0,58.73%,65.74%,28.77,57.25%
92,27649,Brandt Snedeker,70.943,287.0,69.42%,66.58%,28.37,63.54%
93,30926,Chris Kirk,70.95,298.2,61.15%,67.64%,28.89,59.86%
94,50582,Jeremy Paul,70.967,308.4,58.49%,69.20%,28.94,61.80%
95,51950,Max McGreevy,70.972,300.1,68.86%,67.55%,29.17,57.62%
96,66743,Luke Clanton,70.976,314.8,59.63%,70.47%,29.72,55.40%
97,58168,Davis Thompson,70.984,304.8,64.04%,68.73%,29.24,57.64%
98,51287,Ryo Hisatsune,71.006,299.3,62.23%,69.38%,29.43,61.81%
99,35461,Beau Hossler,71.007,305.0,54.40%,64.14%,28.18,60.74%
100,36884,Ben Kohles,71.012,297.9,72.82%,72.95%,29.64,60.81%
101,33199,Matteo Manassero,71.024,288.3,60.15%,65.05%,28.54,69.54%
102,36799,Stephan Jaeger,71.038,306.7,54.30%,64.69%,28.44,58.77%
103,37378,Min Woo Lee,71.058,313.8,55.52%,63.80%,28.53,59.53%
104,35706,Niklas Norgaard,71.06,319.6,52.03%,69.67%,29.7,49.08%
